,CUST OCCU,SALARY,BPKB NAME,Harga Motor,SPOUSE SALARY,BIRTH DATE,ANGSURAN,GROUP OVERDUE DAYS
228,LAIN-LAIN,2800000.0,SAME,12800000,1400000.0,32,629000,a) LANCAR
229,PEDAGANG,4000000.0,SAME,12500000,,32,564000,a) LANCAR
230,PETERNAK,4500000.0,DIFFERENT,5300000,1750000.0,27,332000,a) LANCAR
231,PETANI,4500000.0,DIFFERENT,4700000,2000000.0,57,319000,a) LANCAR
232,Pelajar/Mahasiswa,5000000.0,DIFFERENT,13000000,,23,525000,a) LANCAR
233,PETANI,3500000.0,DIFFERENT,7700000,1750000.0,42,349000,a) LANCAR
234,PEDAGANG,2500000.0,DIFFERENT,6900000,1400000.0,30,312000,a) LANCAR
235,PEDAGANG,3500000.0,DIFFERENT,13500000,900000.0,52,613000,a) LANCAR
236,PETANI,3000000.0,DIFFERENT,7200000,,26,362000,a) LANCAR
237,PEDAGANG,2500000.0,SAME,5800000,1750000.0,44,396000,a) LANCAR
238,JASA,4000000.0,DIFFERENT,9000000,1500000.0,39,308000,a) LANCAR
239,PEDAGANG,2600000.0,DIFFERENT,4600000,1200000.0,25,308000,a) LANCAR
240,PEDAGANG,2500000.0,DIFFERENT,8200000,1400000.0,29,466000,a) LANCAR
241,JASA,4400000.0,DIFFERENT,13500000,,23,634000,a) LANCAR
242,PETANI,3500000.0,DIFFERENT,9700000,2000000.0,38,418000,a) LANCAR
243,JASA,3300000.0,DIFFERENT,17500000,,22,411000,a) LANCAR
244,PEDAGANG,4500000.0,DIFFERENT,10900000,2500000.0,22,454000,c) 1-30
245,PEDAGANG,3500000.0,DIFFERENT,9100000,900000.0,27,441000,c) 1-30
246,PEDAGANG,4500000.0,DIFFERENT,5400000,,27,352000,a) LANCAR
247,PETANI,3400000.0,DIFFERENT,6000000,,35,308000,a) LANCAR
248,PETANI,5000000.0,DIFFERENT,27000000,900000.0,48,933000,c) 1-30
249,PETANI,3000000.0,DIFFERENT,7700000,1000000.0,56,411000,c) 1-30
250,Wiraswasta,3000000.0,SAME,12700000,1500000.0,46,569000,a) LANCAR
251,SEWA/RENT,4900000.0,DIFFERENT,15400000,1000000.0,49,507000,c) 1-30
252,PEDAGANG,4000000.0,DIFFERENT,15000000,1000000.0,44,564000,c) 1-30
253,LAIN-LAIN,4000000.0,DIFFERENT,5300000,3000000.0,45,520000,c) 1-30
254,JASA,4500000.0,DIFFERENT,15100000,1000000.0,37,621000,c) 1-30
255,PEDAGANG,5900000.0,DIFFERENT,16800000,1000000.0,57,645000,a) LANCAR
